"newColName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",99.0844305636255,0.299077075737004,0.129340257599411,2.31232781879326,0.0207596247733262,0.113469577810164
"A1CF",0.00664034045473855,-0.00970529231196017,2.89519384540879,-0.0033522081180681,0.997325329907341,NA
"A2BP1",34.5247497917461,0.426753005435518,0.35284422923293,1.20946573609341,0.226483967068669,0.467306612656454
"A2LD1",101.536443315676,-0.208435233641296,0.0894637649399401,-2.3298285488122,0.0198152146331717,0.110217062784948
"A2M",6383.37183274593,-0.27950075990023,0.100410673515716,-2.78357618880511,0.00537632338505928,0.0450217117667999
"A2ML1",77.9880003094996,0.142881512659736,0.309564930467865,0.461555875995998,0.644399842918179,0.812988628481413
"A4GALT",380.942176447079,-0.229352987498813,0.133568336302348,-1.71712094234405,0.0859570764827544,0.267582047900452
"A4GNT",0.578675948377585,0.0666568995467702,0.372988880508379,0.178710152045063,0.858165297338349,0.932862638637615
"AAA1",0,NA,NA,NA,NA,NA
"AAAS",1005.8449768821,0.149348464177525,0.0536531505523323,2.78359169293989,0.00537606643007881,0.0450217117667999
"AACS",908.136796047726,-0.0622201039541465,0.0684420422689073,-0.909091866512181,0.363301635548365,0.604250925170012
"AACSL",4.78905322999814,0.0031204033789062,0.53979320376018,0.00578073854426024,0.995387663653871,0.998292566886766
"AADAC",119.128392640879,-0.781702793839444,0.181043534525302,-4.31776144831173,1.57619649878321e-05,0.000605642582187043
"AADACL2",0.465355914843637,-0.714890392977091,0.540404658751913,-1.32287977425687,0.185875362449814,0.418655156443957
"AADACL3",2.6926862379586,-1.61459549350828,0.422256388770337,-3.82373253892067,0.000131446502521862,0.00317959385496172
"AADACL4",0.449636956359579,0.827451632018955,0.575367189057906,1.43812794291209,0.1503977555565,0.372779109958555
"AADAT",79.8174315661506,0.293690475997032,0.129317929101885,2.27107314536133,0.0231425503654091,0.120570078096281
"AAGAB",1254.54190160986,-0.0128054729266014,0.0583600207303845,-0.219422007846108,0.826321327934129,0.917416206056869
"AAK1",1136.35115775519,-0.171332011742126,0.0910446718176717,-1.88184556351897,0.0598569873570353,0.216646469002035
"AAMP",3514.42433157676,0.0260434259852548,0.0484009657741539,0.538076576958759,0.590524182493166,0.778367195195242
"AANAT",1.5954775505377,0.174135455739639,0.224315802280134,0.776295980798413,0.437574245652718,0.666537628375632
"AARS",3176.54197537771,0.0373497954773479,0.0671535473224552,0.556184996423244,0.578084394816491,0.769228448452294
"AARS2",545.473816187415,0.00958949706584326,0.0698333811053869,0.137319673114088,0.890778120841719,0.949609070537257
"AARSD1",413.474545615363,0.0551188438685016,0.0595963445790152,0.924869541208569,0.355033772001746,0.596556047108947
"AASDH",266.623950177834,-0.112361071004905,0.0626092616720094,-1.79463977060663,0.0727111123463772,0.241980970562154
"AASDHPPT",1061.29821372762,-0.0664416189507538,0.0613575896416063,-1.08285901285959,0.278871007010487,0.525011286909591
"AASS",169.758134158143,0.16727621630399,0.138298881672478,1.20952689046421,0.226460486591486,0.467306612656454
"AATF",1295.4528417107,0.0538919952326922,0.0576792288296679,0.934339732451005,0.350128675088404,0.59256844982796
"AATK",106.309941037596,0.413971370815853,0.173721835403045,2.38295531390981,0.0171742789362242,0.0997414375474366
"ABAT",582.550254884327,0.404072055358274,0.138676002860559,2.9137849881971,0.0035707574808571,0.0342097929625336
"ABCA10",7.83121980432382,-0.0344233612175748,0.181141588489298,-0.190035659423449,0.849281187475004,0.928641790917928
"ABCA1",995.630689475132,-0.247182361842464,0.0840934779599998,-2.93937613045378,0.00328873698741612,0.0322801357572037
"ABCA11P",112.988651259336,-0.028824546157071,0.0962593653162639,-0.299446667473516,0.76459925920113,0.884393019901385
"ABCA12",8.34034404013928,-1.04026467080463,0.251696872007005,-4.13300595478073,3.58049446078369e-05,0.00114000160208097
"ABCA13",60.3370693742169,-0.249950220267898,0.189265443280527,-1.32063315909933,0.186623710901439,0.41976359138228
"ABCA17P",31.4218355879774,0.250894614111307,0.150707469107509,1.66477889647478,0.0959568757374765,0.285614255976536
"ABCA2",1250.54698645746,-0.0876380678170932,0.115839908940479,-0.756544688429647,0.449322689597193,0.67630798689803
"ABCA3",787.422188469867,0.103936801532643,0.104574817533728,0.993898951811428,0.320272064733222,0.565734451926818
"ABCA4",108.211726418438,-0.0766578088622151,0.18269258125952,-0.419600009664981,0.674777681312131,0.832304445582218
"ABCA5",161.936025556062,-0.226129218152758,0.108891720064171,-2.07664290746347,0.0378345296125801,0.163615112129984
"ABCA6",36.2830917970572,0.0209468983632045,0.186180570984296,0.112508508554157,0.910420223727732,0.958962409329061
"ABCA7",198.252683201521,-0.166922186057346,0.12149266679369,-1.37392807699909,0.169464012088896,0.397166082404568
"ABCA8",36.2615547188501,0.0224882412177909,0.229693648125991,0.097905368308033,0.922007437176411,0.964111409153772
"ABCA9",34.5768830597569,0.206833049137074,0.189783841094695,1.08983487711091,0.275785887495706,0.52183299858884
"ABCB10",472.995966741462,-0.106935592328782,0.060810067367495,-1.75851790596672,0.0786594275936388,0.253717835093067
"ABCB11",0.905555505203909,-0.0560197331646505,0.39012469072013,-0.143594431465601,0.885820738131943,0.947515093315
"ABCB1",28.5410048016542,0.0305999584223283,0.127314985434458,0.240348442234878,0.810060143904972,0.909821991480929
"ABCB4",10.7937174293281,-0.140007408375407,0.154425715703075,-0.906632731070572,0.364601047046139,0.605294838214506
"ABCB5",4.50910244845375,0.508245091947319,0.340465918969194,1.49279285717084,0.135491417609805,0.352285505229592
