Genes
Col6a1
Igfbp5
Col3a1
Lrrc32
Rgma
Trabd2b
Krt14
Ust
Angptl7
Col12a1
Whrn
Itm2a
Ak4
Glipr2
Pdgfra
Hhipl1
E330013P04Rik
Sox6
Thbs2
S100a4
Dmpk
C3
Adam19
Bgn
Stbd1
Lpar1
Car9
Tnc
Emilin1
Slit3
Aebp1
Ptpn5
Fn1
Dlx1
Olfm1
Fam131b
Endod1
Hoxa5
Lynx1
Pxdn
Col5a1
Ctsh
C130026I21Rik
Btbd17
Adamtsl4
Fbln1
Gjb3
Igfbp4
Ifit3
Ifi27l2a
Ism1
Tlr5
Ndrg2
Ndrg1
Gm13431
Ifit2
Nmnat2
Lgals2
Cmpk2
Cntln
Tmem119
Gata5
Notum
Rgs17
Pcyt1b
Evl
Sprr1a
Gm11110
Kif26b
Chst1
Mrvi1
