Gene
ACTA2
CDH11
COL1A1
COL1A2
COL3A1
COL5A1
COL5A2
DPYSL3
ENDOD1
FAM84B
FILIP1L
FRMD6
IL1RAP
ITGA1
KDR
KLF10
LAMA4
LYNX1
MAML2
MUC16
NDRG1
P4HA2
PDGFRA
PGM2L1
SAMD9L
SIPA1L2
TM4SF1
WISP1S
